NAME,Search Engines and Resources,WEB,Special Sports,Percentage in the Business,Mission Statement,City and State,Sstate,Address,EIN,Bridge Number,Gross Receipts,Assets,Funded Year,CEO or Principal Officer,Gender of Leadership,Cause Area,NTEE Code,IRS Filing Requirement,IRS Subsection
2RRD,null,www.tworiversrollerderby.com,Roller Derby,1,"Two Rivers Roller Derby League (2RRD) is an all-women's flat track roller derby league serving Eastern Pennsylvania and Northwest New Jersey. Our mission is to provide a haven of athleticism, sportsmanship and fun in which to play the best possible roller derby!","Lehigh Valley, PA",PA,"PO BOX 20561, Lehigh Valley, PA 18002",46-5265078,4885988512,,,2012,Brittany Merriam,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
Academy for Sport Leadership,Guide Star (Women Sports),www.sportleadership.net,Coaches,1,"To champion, educate and attract young women to the coaching profession.","Ann Arbor, MI",MI,"Po Box 131226, Ann Arbor, MI 48113",38-3636138,4678017878,,,2002,Meg Seng,Female,"Alliance / Advocacy Organizations; Recreational and Sporting Camps (Day, Overnight, etc.)",B01; N01; N20,990-N,501(c)(3) Public Charity
Addison Girls Sports Program,Guide Star (Girls Sports),https://agsp-online.sportsengine-prelive.com/,"Softball, Volleyball, and Basketball",1,"AGSP is a non-profit organization made up of volunteers that provides organized Softball, Volleyball, and Basketball to girls in Addison, Illinois. We are committed to providing girls in the Addison area an opportunity to play organized sports.","Addison, IL",IL,"PO BOX 1032 ADDISON , IL 60101",36-3945786,132504821,,,1995,Ed Hawkins,Male,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Alliance of Women Coaches Inc.,,http://gocoaches.org/,Coaches,1,To provide education services and training to professional women coaches through the development and implementation of training seminars.,"SantaClara, CA",CA,"65 Washington St 237, Santa Clara, CA 95050",20-0059540,4112444477,,,2017,MEGAN KAHN,Female,Education N.E.C.,B99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Amazin Lethi Foundation,,www.amazinlethifoundation.org,Genral Sports,1,"Our mission is to inspire rainbow (LGBTQ) youth & their allies through a range of educational, sports, leadership and mentoring programs and to campaign against social stigma and discrimination. Our vision is a world where there is equality for all and where rainbow youth and those living and or affected by HIV/AIDS can achieve their full potential.","New York, NY",NY,"244 5th Avenue, Suite 2251, New York, NY 10001",99-0370628,8082260845,,,2012,Amazin LeThi,Female,Lesbian/Gay Rights; Youth Development Programs,R26; O50,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
American Association of University Women (AAUM),,http://www.aauw.org,Equity in Sports,2,"The American Association of University Women (AAUW) is the nation's leading voice promoting equity and education for women and girls. Since our founding in 1881, AAUW members have examined and taken positions on the fundamental issues of the day educational, social, economic, and political.","Washington, DC",DC,"1310 L St NW Suite 1000, Washinton, DC 20005",52-6037388,1211734232,,,1881,Julia Brown,Female,"Women's Rights; Leadership Development; Scholarships, Student Financial Aid, Awards",R24; W70; B82,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Amy D Foundation,,http://amydfoundation.org/,Cycling,1,"The Amy D. Foundation encourages and supports young women through cycling, inspiring the celebration of healthy challenge and empowering the confident pursuit of lofty dreams.","Lakewood, CO",CO,"PO BOX 280313, Lakewood, CO 80228",46-4510224,2534748353,"$131,167 ","$80,947 ",2013,Amy Alison Dombroski,Female,Amateur Sports Competitions,N70,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Angel City Derby Girls Inc.,Guide Star (Women Sports),www.angelcityderby.com,Roller Derby,1,To promote women's health and fitness with physical activity through the sport of roller derby.,"Los Angeles, CA",CA,"4470 W Sunset Blvd Ste 318, Los Angeles, CA 90027",47-2132772,5771924830,"$188,880 ","$32,119 ",2006,Rachel Johnston,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Arapahoe Rodeo Royalty Assocation,Guide Star (Women Sports),arapahoerodeoroyaltyassociation.org,Rodeo,1,"The specific purpose of Arapahoe Rodeo Royalty Association is dedicated in helping young women, who wish to further promote the sport of rodeo, the great western way of life and be the best they can be in all walks of life.","Aurora, CO",CO,"19595 E Maplewood Ave., Aurora, CO 80016",81-0996240,180303825,"$2,270 ","$1,233 ",2016,Janice Leonard,Female,"Arts, Cultural Organizations - Multipurpose",A20,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Arizona Women's Golf Association,,WWW.AWGA.ORG,Golf,1,inspire and encourage women to engage in the game of golf.,"Scottsdale, AZ",AZ,"7590 E Gray Rd Ste 103, Scottsdale, AZ",86-00342075,3029151141,"$1,028,139 ","$995,039 ",2008,Suzy Ohara,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
A's and Aces,,WWW.AsAndAces.org,Tennis,1,"A's & Aces mission is to provide academic assistance, life skills, and tennis to New Orleans public school children.","New Orleans, LA",LA,"1036 Arabella St., New Orleans, LA 70115",26-1905295,583388014,"$427,031 ","$313,423 ",2008,Carl David Schumacher,Male,"Citizenship Programs, Youth Development; Tennis and Racquet Sports Clubs/Leagues; Remedial Reading, Reading Encouragement",O54; N66; B92,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Association for Women in Sports Media,Guide Star (Women Sports),www.awsmonline.org,,1,support the advancement and growth of women -- both professional and student -- in sports media.,Estero,FL,"21317 Estero Preserve Run, Estero, FL 33928",20-3855354,998294302,"$167,565 ","$107,194 ",2005,Lydia Craver,Female,"Alliance/Advocacy Organizations; Professional Societies, Associatoins; Women's Rights",T01; N03; R24,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Athlete Ally,null,www.athleteally.org,LGBT,2,"working to create LGBTQ inclusive athletic environments, and of our efforts to mobilize athletes, teams and leagues to use their platform to champion equality.","New York, NY",NY,"105 W 86th St, Suite 238, New York, NY 10024",27-5527156,8239819859,"$860,968 ","$532,865 ",2011,Hudson Taylor,Male,Alliance/Advocacy Organizations,N01,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
"Athletes Can Think Too, Inc.",,http://www.athletescan.org/,,2,"To empower student-athletes to reach their full potential in athletic and professional endeavors by instilling positive core values and leadership skills that reflect a progressive lifestyle.","Mount Juliet, TN",TN,"PO BOX 1841, Mount Juliet, TN 37122",46-1427348,3536644344,,,2013,Jeremy Perry,Male,"Student Services and Organizations; Amateur Sports Clubs, Leagues, N.E.C.; Alliance/Advocacy Organizations",B80; N60; T01,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Atlanta Rollergirls,,http://www.atlantarollergirls.com/,Roller Derby,1,"Your Atlanta Rollergirls are proud to be part of the movement that has exploded into hundreds of leagues worldwide, and inspired women from all walks of life to strap on skates and take to the track. Younger girls are getting in on the sport now too, as junior leagues like our own Atlanta Junior Roller Derby take root.","Atlanta, GA",GA,"PO BOX 8629, Atlanta, GA 31106",46-2752465,4997010681,"$223,783 ","$147,050 ",2004,Katherine Greer,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Atomic Rollergirls,,https://www.atomicrollergirls.org/,Roller Derby,1,"Our purpose is to promote and support the sport of Roller Derby along with the Women's Flat Track Derby Association (WFTDA). By fostering athleticism and encouraging personal individual growth, we create positive and strong role models. We promote physical fitness along with personal health, sportsmanship and equality. Our league is proud to partner with organizations that foster the growth of the community, by providing volunteers and funding to further support their goals for improving lives in the city of Las Vegas.","Las Vegas, NV",NV,"PO BOX 33954, Las Vegas, NV 89133",46-5182675,228476108,"$9,710 ","$11,059 ",2014,,,"Other Recreation, Sports, or Leisure Activities N.E.C.",N99,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Austin Texas Rollergirls Incorporated,,https://www.texasrollergirls.org/,Roller Derby,1,"AUSTIN TEXAS ROLLERGIRLS IS A PUBLIC CHARITY AMATEUR SPORTS ORGANIZATION WHOSE MISSION IS TO DEVELOP, PROMOTE AND SUPPORT WOMEN'S FLAT-TRACK ROLLER DERBY.","Austin, TX",TX,"8760 A Research Blvd No 511, Austin, TX 78758",26-1916572,6173870533,"$189,204 ","$72,827 ",2008,Kelly Page,Female,Amateur Sports Competitions,N70,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Baldwinsville Girls Lacrosse Inc.,,BALDWINSVILLEGIRLSLAX.COM,Lacrosse,1,"TO ORGANIZE FEMALE LACROSSE TEAMS TO ATTEND AND COMPETE IN LACROSSE TOURNAMENTS, TO PROPMOTE THE SPORT OF WOMENS LACROSSE, TO PROVIDE SCHOLARSHIPS TO SELECTED FEMALE LACROSSE PLAYERS","Baldwinsville, NY",NY,"8501 Smokey Hollow Rd, Baldwinsville, NY 13027",26-0178373,6784236709,"$146,153 ","$34,917 ",2007,Joe Caloia,Male,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Baltimore Board of Officials for Womens Sports,Guide Star (Women Sports),https://www.bbows.org/,,1,"The Baltimore Board of Officials for Women's Sports is a service organization providing sports officiating services to girls and women's sports for over 45 years. Our Board recruits, trains, and provides continuing education for people interested in becoming an official.","Eldersburg, MD",MD,"5700 Mineral Hill Rd, Eldersburg, MD 21784",52-1101026,5951441282,"$72,695 ","$72,971 ",1977,Fran Trumbo,Female,"Other Recreation, Sports, or Leisure Activities N.E.C.",N99,990 or 990-EZ,501(c)(4) Civic Leagues and Social Welfare Organizations
,,,,,,,,,,,,,,,,,,,
Baseball for All,,http://www.baseballforall.com,Baseball,1,"Baseball For All fosters, encourages, and provides opportunities for girls to participate in baseball. We educate the public concerning the importance of providing equal opportunities and provide resources for girls who are told they are not allowed to try out for a school team.","Los Angeles, CA",CA,"30745 Pacofoc Coast Hwy #328, Los Angeles, CA 90265",27-2050876,721063943,"$71,363 ","$20,147 ",2012,Justine Siegal,Male,"Youth Development Programs; Baseball, Softball (includes Little Leagues)",O50; N63,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
